hpi,condition,mouse,label,lung,blood
24,Dox,1,#1+dox,1073,
24,Dox,2,#2+dox,713,
24,Dox,3,#3+dox,907,
24,Dox,4,#4+dox,913,
24,Dox,5,#5+dox,1052,
24,Dox,6,#6+dox,698,
24,Dox,7,#7+dox,958,
24,Dox,8,#8+dox,1270,
24,Dox,9,#9+dox,933,
24,Dox,10,#10+dox,1037,
24,noDox,1,#1,127456,
24,noDox,2,#2,140530,
24,noDox,3,#3,57003,
24,noDox,4,#4,210120,
24,noDox,5,#5,211559,
24,noDox,6,#6,322824,
24,noDox,7,#7,1970,
24,noDox,8,#8,13658,
24,noDox,9,#9,3714,
24,noDox,10,#10,16644,
24,noDox,11,#11,72552,
